Company Name,Ticker,Country,Sector,Subsector, Overall ESG RATING, Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
CEVA Logistics Finance BV,,NL,Air Freight & Logistics,Air Freight & Logistics,B,2.2,8.6,1.8,3.2
"CEVA, INC",CEVA,US,Semiconductors & Semiconductor Equipment,Semiconductors,B,2.1,6.0,2.9,3.8
CEWE Stiftung & Co KGaA,CWC,DE,Retail - Consumer Discretionary,Diversified Support Services,AA,7.8,6.6,4.5,7.1
"CEZ, as",CEZ,CZ,Utilities,Electric Utilities,BBB,4.6,6.4,5.1,4.0
"CF INDUSTRIES HOLDINGS, INC",CF,US,Specialty Chemicals,Fertilizers & Agricultural Chemicals,BB,4.1,2.5,4.5,6.6
"CF INDUSTRIES, INC",,US,Specialty Chemicals,Fertilizers & Agricultural Chemicals,BB,4.1,2.5,4.5,6.6
CFI STAVANGER HOLDINGS AS,,NO,Real Estate Management & Services,Diversified REITs,BB,3.7,4.3,4.6,5.4
CFR PHARMACEUTICALS SA,ABT,CL,Health Care Equipment & Supplies,Pharmaceuticals,BB,4.2,10.0,5.2,5.4
CGG HOLDING (US) INC,,US,Energy Equipment & Services,Oil & Gas Equipment & Services,AA,8.4,8.5,10.0,5.2
CGG SA,CGG,FR,Energy Equipment & Services,Oil & Gas Equipment & Services,AA,8.4,8.5,10.0,5.2
CGI INC,GIB.A,CA,Software & Services,IT Consulting & Other Services,A,6.7,6.4,4.7,5.9
"CGN NEW ENERGY HOLDINGS CO, LTD",1811,HK,Utilities,Independent Power Producers & Energy Traders,BB,4.0,5.6,5.0,3.9
"CGN Power Co, Ltd",003816,CN,Utilities,Independent Power Producers & Energy Traders,BB,3.3,4.1,6.6,2.8
CH Karnchang Public Company Limited,CK,TH,Construction & Engineering,Construction & Engineering,B,2.1,3.7,5.0,1.7
"CH ROBINSON WORLDWIDE, INC",CHRW,US,Air Freight & Logistics,Air Freight & Logistics,AAA,9.2,9.3,5.5,5.8
"CHA Healthcare Co,Ltd",,KR,Health Care Providers & Services,Health Care Facilities,B,1.6,5.3,4.6,1.5
"CHACHA FOOD COMPANY, LIMITED",002557,CN,Food Products,Packaged Foods & Meats,BB,3.0,2.0,5.2,4.0
"CHAILEASE FINANCE CO, LTD",,TW,Diversified Financials,Specialized Finance,A,6.5,10.0,3.9,5.8
CHAILEASE HOLDING COMPANY LIMITED,5871,TW,Diversified Financials,Specialized Finance,A,6.5,10.0,3.9,5.8
CHALCO HONG KONG INVESTMENT COMPANY LIMITED,,VG,Metals and Mining - Non-Precious Metals,Aluminum,B,2.3,2.0,2.9,2.7
CHALIECO HONG KONG CORPORATION LIMITED,,HK,Construction & Engineering,Construction & Engineering,CCC,0.8,3.5,3.0,2.7
CHALLENGER LIFE COMPANY LIMITED,,AU,Life & Health Insurance,Other Diversified Financial Services,A,6.6,4.5,4.5,8.4
CHALLENGER LIMITED,CGF,AU,Life & Health Insurance,Other Diversified Financial Services,A,6.6,4.5,4.5,8.4
CHAMPION IRON LIMITED,CIA,AU,Steel,Steel,BBB,5.5,2.0,5.1,7.0
CHAMPION MTN LIMITED,CREIT,HK,Real Estate Management & Services,Office REITs,BB,3.4,6.4,5.2,3.7
CHAMPIONX CORPORATION,CHX,US,Energy Equipment & Services,Oil & Gas Equipment & Services,A,6.2,6.6,7.6,6.0
CHAMPIONX HOLDING INC,,US,Specialty Chemicals,Specialty Chemicals,AAA,9.4,8.8,3.4,5.2
CHANDRAJYOTI ESTATE DEVELOPERS PRIVATE LIMITED,,IN,Real Estate Development & Diversified Activities,Diversified Real Estate Activities,BB,4.1,4.8,5.7,2.2
"CHANG HWA COMMERCIAL BANK, LTD",2801,TW,Banks,Diversified Banks,BBB,5.7,2.7,4.3,5.4
"CHANGE HEALTHCARE HOLDINGS, INC",CHNG,US,Health Care Equipment & Supplies,Health Care Technology,B,2.1,6.7,3.2,5.5
"CHANGE HEALTHCARE HOLDINGS, LLC",MCK,US,Health Care Equipment & Supplies,Health Care Distributors,BBB,5.6,9.0,2.0,5.6
CHANGE HEALTHCARE INC,CHNG,US,Health Care Equipment & Supplies,Health Care Technology,B,2.1,6.7,3.2,5.5
CHANGE Inc,3962,JP,Software & Services,IT Consulting & Other Services,B,1.9,4.3,3.1,2.6
"CHARGEPOINT HOLDINGS, INC",CHPT,US,Electrical Equipment,Electrical Components & Equipment,BBB,5.2,4.5,5.7,5.3
CHARGEURS SA,CRI,FR,"Textiles, Apparel & Luxury Goods",Industrial Conglomerates,BBB,4.7,4.2,1.6,6.0
"CHARLES RIVER LABORATORIES INTERNATIONAL, INC",CRL,US,Health Care Equipment & Supplies,Life Sciences Tools & Services,BB,3.7,10.0,5.0,4.1
"CHART INDUSTRIES, INC",GTLS,US,Industrial Machinery,Industrial Machinery,BBB,5.4,3.5,4.4,5.7
"CHARTA, LLC",,US,Banks,Diversified Banks,A,7.0,8.7,3.9,5.0
"CHARTER COMMUNICATIONS HOLDINGS, LLC",,US,Media & Entertainment,Cable & Satellite,B,2.3,8.0,3.7,3.3
"CHARTER COMMUNICATIONS OPERATING, LLC",,US,Telecommunication Services,Cable & Satellite,B,2.3,8.0,3.7,3.3
"CHARTER COMMUNICATIONS, INC",CHTR,US,Media & Entertainment,Cable & Satellite,B,2.3,8.0,3.7,3.3
CHARTER HALL GROUP,CHC,AU,Real Estate Management & Services,Diversified REITs,AAA,10.0,7.1,5.9,8.0
CHARTER HALL RETAIL REIT,CQR,AU,Real Estate Management & Services,Retail REITs,BBB,5.0,6.2,3.1,6.2
CHASE CORPORATION,CCF,US,Specialty Chemicals,Specialty Chemicals,BB,3.1,3.8,0.0,5.2
"CHASE INDUSTRIES, INC",,US,Commodity Chemicals,Commodity Chemicals,B,2.2,1.6,3.7,6.3
CHATHAM LODGING TRUST,CLDT,US,Real Estate Management & Services,Hotel & Resort REITs,B,1.8,3.8,4.5,4.1
CHECK POINT SOFTWARE TECHNOLOGIES LTD,CHKP,IL,Software & Services,Systems Software,BBB,4.3,8.0,3.8,4.1
"CHEGG, INC",CHGG,US,Diversified Consumer Services,Education Services,BB,3.4,8.0,6.7,6.2
CHELMER HOUSING PARTNERSHIP LIMITED,CRHNG,GB,Real Estate Management & Services,,A,6.1,2.9,6.9,6.9
CHELTENHAM & GLOUCESTER PLC,,GB,Banks,Diversified Banks,AA,8.57,7.6,4.3,7.3
CHEMED CORPORATION,CHE,US,Health Care Providers & Services,Health Care Services,BBB,5.3,5.4,5.5,4.7
CHEMIN DE FER CANADIEN PACIFIQUE LIMITEE,CP,CA,Road & Rail Transport,Railroads,A,6.7,5.6,3.2,6.7
CHEMRING GROUP PLC,CHG,GB,Aerospace & Defense,Aerospace & Defense,AAA,10.0,3.0,6.8,7.8
"CHENG UEI PRECISION INDUSTRY CO, LTD",2392,TW,"Electronic Equipment, Instruments & Components",Electronic Components,BBB,4.8,2.8,5.3,3.5
"CHENIERE CORPUS CHRISTI HOLDINGS, LLC",,US,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Storage & Transportation,A,7.0,4.4,6.8,5.7
"CHENIERE ENERGY PARTNERS, LP",CQP,US,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Storage & Transportation,BBB,5.6,3.5,7.5,5.1
"CHENIERE ENERGY, INC",LNG,US,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Storage & Transportation,A,7.0,4.4,6.8,5.7
CHESAPEAKE ENERGY CORPORATION,CHK,US,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,B,2.3,1.5,3.7,5.3
CHESAPEAKE UTILITIES CORPORATION,CPK,US,Utilities,Gas Utilities,BBB,5.4,4.1,6.7,5.5
CHESNARA PLC,CSN,GB,Life & Health Insurance,Life & Health Insurance,BBB,4.8,6.5,3.0,7.2
CHEVRON CORPORATION,CVX,US,Integrated Oil & Gas,Integrated Oil & Gas,BBB,4.6,4.3,6.0,4.8
"CHEWY, INC",CHWY,US,Retail - Consumer Discretionary,Internet & Direct Marketing Retail,B,2.7,0.7,3.7,4.0
CHIBA BANK LTD(THE),,GB,Banks,Regional Banks,A,6.5,4.5,4.7,4.6
"CHICONY ELECTRONICS CO, LTD",2385,TW,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",BB,4.2,2.3,4.1,4.5
CHIMERA INVESTMENT CORPORATION,CIM,US,Asset Management & Custody Banks,Mortgage REITs,B,2.8,6.7,2.1,5.7
"CHIMERIX, INC",CMRX,US,Biotechnology,Biotechnology,A,6.6,6.7,4.6,5.2
CHINA AIRCRAFT LEASING GROUP HOLDINGS LIMITED,1848,HK,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0.0,4.4,3.2,2.3
CHINA AOYUAN GROUP LIMITED,3883,CN,Real Estate Development & Diversified Activities,Real Estate Development,BBB,4.9,5.0,2.6,4.8
CHINA AVIATION OIL (SINGAPORE) CORPORATION LTD,G92,SG,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Storage & Transportation,A,6.5,5.9,4.9,5.3
"CHINA AVIONICS SYSTEMS CO, LTD",600372,CN,Aerospace & Defense,Aerospace & Defense,CCC,0.5,2.4,4.1,1.5
"CHINA BOHAI BANK CO, LTD",9668,CN,Banks,Diversified Banks,BBB,5.4,3.3,4.1,5.4
CHINA CICC WEALTH MANAGEMENT SECURITIES COMPANY LIMITED,,CN,Investment Banking & Brokerage,Investment Banking & Brokerage,BBB,5.3,6.5,2.5,5.2
"CHINA CINDA ASSET MANAGEMENT CO, LTD",1359,CN,Asset Management & Custody Banks,Asset Management & Custody Banks,B,2.1,9.0,2.7,3.7
CHINA CINDA FINANCE (2014) II LIMITED,,VG,Asset Management & Custody Banks,Asset Management & Custody Banks,B,2.1,9.0,2.7,3.7
CHINA CITIC BANK CORPORATION LIMITED,,GB,Banks,Diversified Banks,BBB,4.9,3.6,3.4,5.1
CHINA CITIC BANK CORPORATION LIMITED,601998,CN,Banks,Diversified Banks,BBB,4.9,3.6,3.4,5.1
CHINA CONCH VENTURE HOLDINGS LIMITED,586,CN,Construction & Engineering,Construction & Engineering,BBB,4.6,6.0,0.2,4.6
CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO SA,CNCBK,BR,Banks,Diversified Banks,A,7.0,5.4,4.9,5.4
CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,,NZ,Banks,Diversified Banks,A,7.0,5.4,4.9,5.4
CHINA CONSTRUCTION BANK CORPORATION,,AU,Banks,Diversified Banks,A,7.0,5.4,4.9,5.4
CHINA CONSTRUCTION BANK CORPORATION,601939,CN,Banks,Diversified Banks,A,7.0,5.4,4.9,5.4
CHINA CONSTRUCTION BANK CORPORATION LONDON BRANCH,,GB,Banks,Diversified Banks,A,7.0,5.4,4.9,5.4
CHINA CONSTRUCTION BANK CORPORATION SINGAPORE BRANCH,,SG,Banks,Diversified Banks,A,7.0,5.4,4.9,5.4
CHINA CONSTRUCTION BANK CORPORATION TOKYO BRANCH,,JP,Banks,Diversified Banks,A,7.0,5.4,4.9,5.4
CHINA CONSTRUCTION EIGHTH ENGINEERING DIVISION CORP LTD,,CN,Construction & Engineering,Construction & Engineering,B,1.7,5.0,2.2,2.2
CHINA CONSTRUCTION FOURTH ENGINEERING DIVISION CORP LTD,,CN,Construction & Engineering,Construction & Engineering,B,1.7,5.0,2.2,2.2
CHINA CONSTRUCTION SCIENCE AND INDUSTRY CORPORATION LTD,,CN,Construction & Engineering,Construction & Engineering,B,1.7,5.0,2.2,2.2
CHINA CONSTRUCTION SECOND ENGINEERING BUREAU LTD,,CN,Construction & Engineering,Construction & Engineering,B,1.7,5.0,2.2,2.2
CHINA DEVELOPMENT BANK,CNDBK,CN,Supranationals & Development Banks,,B,1.5,0.0,5.9,2.8
CHINA DEVELOPMENT FINANCIAL HOLDING CORP,2883,TW,Life & Health Insurance,Life & Health Insurance,BBB,5.3,9.2,4.1,3.9
"CHINA DONGXIANG (GROUP) CO, LTD",3818,CN,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",BBB,5.3,3.2,5.2,4.4
CHINA EDUCATION GROUP HOLDINGS LIMITED,839,HK,Diversified Consumer Services,Education Services,BBB,4.8,9.6,4.0,4.4
"CHINA EVERBRIGHT BANK CO, LTD",,AU,Banks,Diversified Banks,BBB,5.7,6.3,3.0,5.4
CHINA EVERBRIGHT BANK COMPANY LIMITED,601818,CN,Banks,Diversified Banks,BBB,5.7,6.3,3.0,5.4
CHINA EVERBRIGHT GREENTECH LIMITED,1257,HK,Utilities,Renewable Electricity,BBB,5.6,5.1,3.9,4.3
CHINA EVERGRANDE GROUP,3333,CN,Real Estate Development & Diversified Activities,Real Estate Development,CCC,1.2,3.7,0.3,2.3
CHINA FEIHE LIMITED,6186,CN,Food Products,Packaged Foods & Meats,BBB,4.6,1.4,6.1,5.6
CHINA FOODS LIMITED,0506,HK,Beverages,Soft Drinks,BB,3.0,3.0,3.6,4.7
CHINA GAS HOLDINGS LIMITED,384,HK,Utilities,Gas Utilities,BB,3.2,5.4,2.3,3.3
"CHINA GEZHOUBA GROUP (HONG KONG) OVERSEAS INVESTMENT CO, LIMITED",,HK,Construction & Engineering,Construction & Engineering,CCC,0.4,5.4,1.2,2.9
"CHINA GREAT WALL SECURITIES CO, LTD",002939,CN,Investment Banking & Brokerage,Investment Banking & Brokerage,B,1.7,2.3,2.1,2.5
"CHINA GREATWALL TECHNOLOGY GROUP CO, LTD",000066,CN,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",CCC,0.0,2.9,2.7,1.8
"CHINA HAINAN RUBBER INDUSTRY GROUP CO,LTD",601118,CN,Commodity Chemicals,Commodity Chemicals,BB,3.2,4.5,0.0,3.0
"CHINA HIGH SPEED TRANSMISSION EQUIPMENT GROUP CO, LTD",658,HK,Electrical Equipment,Heavy Electrical Equipment,BBB,4.4,6.3,5.0,4.7
"CHINA HIGHWAY ENGINEERING CONSULTING GROUP CO, LTD",,CN,Construction & Engineering,Construction & Engineering,BB,3.8,4.1,2.0,4.4
CHINA HONGQIAO GROUP LIMITED,1378,CN,Metals and Mining - Non-Precious Metals,Aluminum,B,1.9,0.8,2.9,4.1
"CHINA HUARONG FINANCIAL LEASING CO, LTD",,CN,Asset Management & Custody Banks,Asset Management & Custody Banks,B,2.6,8.0,3.5,2.2
"CHINA INDUSTRIAL SECURITIES CO,LTD",601377,CN,Investment Banking & Brokerage,Investment Banking & Brokerage,BBB,4.7,5.7,2.4,5.0
"CHINA JUSHI CO, LTD",600176,CN,Construction Materials,Construction Materials,BBB,4.3,3.7,6.4,1.3
CHINA LESSO GROUP HOLDINGS LIMITED,2128,CN,Building Products,Building Products,A,7.1,6.6,5.1,5.0
CHINA LIFE REINSURANCE COMPANY LTD,,CN,Multi-Line Insurance & Brokerage,Reinsurance,BB,3.3,3.4,4.1,4.8
CHINA LONGYUAN POWER GROUP CORPORATION LIMITED,0916,CN,Utilities,Renewable Electricity,A,6.3,8.9,6.9,2.8
CHINA MEDICAL SYSTEM HOLDINGS LIMITED,867,CN,Pharmaceuticals,Pharmaceuticals,AA,7.4,3.3,5.7,5.5
CHINA MEIDONG AUTO HOLDINGS LIMITED,1268,CN,Retail - Consumer Discretionary,Automotive Retail,B,2.4,1.5,2.9,5.2
CHINA MENGNIU DAIRY COMPANY LIMITED,2319,HK,Food Products,Packaged Foods & Meats,BBB,5.1,2.8,6.2,4.8
"CHINA MERCHANTS BANK CO, LTD",,GB,Banks,Diversified Banks,A,6.8,4.9,4.4,5.7
"CHINA MERCHANTS BANK CO, LTD",,SG,Banks,Diversified Banks,A,6.8,4.9,4.4,5.7
"CHINA MERCHANTS BANK CO, LTD",,AU,Banks,Diversified Banks,A,6.8,4.9,4.4,5.7
CHINA MERCHANTS FINANCE COMPANY LIMITED,,VG,Transportation Infrastructure,Marine Ports & Services,CCC,0.0,6.1,1.6,1.7
CHINA MERCHANTS LAND LIMITED,978,HK,Real Estate Development & Diversified Activities,Real Estate Development,BB,3.9,4.7,2.7,4.8
"CHINA MERCHANTS SECURITIES (HK) CO, LIMITED",,HK,Investment Banking & Brokerage,Investment Banking & Brokerage,BB,3.7,5.6,2.6,3.8
"CHINA MERCHANTS SECURITIES CO,LTD",600999,CN,Investment Banking & Brokerage,Investment Banking & Brokerage,BB,3.7,5.6,2.6,3.8
"CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO, LTD",001979,CN,Real Estate Development & Diversified Activities,Real Estate Development,BB,3.9,5.7,4.4,2.3
"CHINA MINSHENG BANKING CORP, LTD",600016,CN,Banks,Diversified Banks,BBB,5.4,4.2,4.5,5.3
CHINA MODERN DAIRY HOLDINGS LTD,1117,CN,Food Products,Agricultural Products,CCC,0.0,0.8,3.3,3.6
CHINA MOTOR CORPORATION,2204,TW,Automobiles,Automobile Manufacturers,BBB,4.3,5.3,4.9,1.7
CHINA NATIONAL SOFTWARE & SERVICE COMPANY LIMITED,600536,CN,Software & Services,Application Software,BBB,4.5,4.1,4.2,5.0
CHINA OIL AND GAS GROUP LIMITED,0603,HK,Utilities,Gas Utilities,A,5.8,7.1,4.7,5.4
CHINA OVERSEAS FINANCE (CAYMAN) I LIMITED,,KY,Real Estate Development & Diversified Activities,Real Estate Development,BB,4.1,6.9,3.1,3.3
CHINA OVERSEAS FINANCE (CAYMAN) III LIMITED,,KY,Real Estate Development & Diversified Activities,Real Estate Development,BB,4.1,6.9,3.1,3.3
CHINA OVERSEAS FINANCE (CAYMAN) V LIMITED,COLIL,KY,Real Estate Development & Diversified Activities,Real Estate Development,BB,4.1,6.9,3.1,3.3
CHINA OVERSEAS FINANCE (CAYMAN) VI LIMITED,COLIL,KY,Real Estate Development & Diversified Activities,Real Estate Development,BB,4.1,6.9,3.1,3.3
CHINA OVERSEAS FINANCE (CAYMAN) VII LIMITED,,KY,Real Estate Development & Diversified Activities,Real Estate Development,BB,4.1,6.9,3.1,3.3
CHINA OVERSEAS FINANCE (CAYMAN) VIII LIMITED,,HK,Real Estate Development & Diversified Activities,Real Estate Development,BB,4.1,6.9,3.1,3.3
CHINA OVERSEAS FINANCE INVESTMENT (CAYMAN) V LIMITED,,KY,Construction & Engineering,Construction & Engineering,B,1.7,5.0,2.2,2.2
CHINA OVERSEAS GRAND OCEANS FINANCE IV (CAYMAN) LIMITED,,HK,Real Estate Development & Diversified Activities,Real Estate Development,BBB,4.6,5.2,4.9,3.2
CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,81,HK,Real Estate Development & Diversified Activities,Real Estate Development,BBB,4.6,5.2,4.9,3.2
CHINA OVERSEAS LAND & INVESTMENT LTD,688,HK,Real Estate Development & Diversified Activities,Real Estate Development,BB,4.1,6.9,3.1,3.3
"CHINA OVERSEAS PROPERTY GROUP CO, LTD",,CN,Real Estate Development & Diversified Activities,Real Estate Development,BB,4.1,6.9,3.1,3.3
CHINA OVERSEAS PROPERTY HOLDINGS LIMITED,2669,HK,Commercial Services & Supplies,Real Estate Services,BB,3.3,6.4,5.8,3.5
"CHINA PACIFIC INSURANCE (GROUP) CO, LTD",601601,CN,Multi-Line Insurance & Brokerage,Multi-line Insurance,BB,4.0,5.7,3.6,5.2
CHINA PETROCHEMICAL CORPORATION,SASAC,CN,Integrated Oil & Gas,,A,6.9,5.7,8.3,3.9
CHINA PING AN INSURANCE OVERSEAS (HOLDINGS) LIMITED,,HK,Life & Health Insurance,Life & Health Insurance,BBB,5.2,5.5,5.1,4.3
"CHINA RAILWAY 11TH BUREAU GROUP CO, LTD",,CN,Construction & Engineering,Construction & Engineering,B,2.3,4.9,2.2,3.1
"CHINA RAILWAY 16TH BUREAU GROUP CO, LTD",,CN,Construction & Engineering,Construction & Engineering,B,2.3,4.9,2.2,3.1
"CHINA RAILWAY TUNNEL GROUP CO, LTD",,CN,Construction & Engineering,Construction & Engineering,B,1.9,4.1,2.5,2.6
"CHINA RAILWAY XUNJIE CO, LIMITED",,CN,Construction & Engineering,Construction & Engineering,B,1.9,4.1,2.5,2.6
CHINA REINSURANCE (GROUP) CORPORATION,1508,CN,Multi-Line Insurance & Brokerage,Reinsurance,BB,3.3,3.4,4.1,4.8
CHINA RENAISSANCE HOLDINGS LIMITED,1911,CN,Investment Banking & Brokerage,Investment Banking & Brokerage,BB,2.9,4.0,2.4,3.8
CHINA RESOURCES CEMENT HOLDINGS LIMITED,1313,HK,Construction Materials,Construction Materials,BB,3.9,3.4,4.2,4.3
CHINA RESOURCES GAS GROUP LIMITED,1193,HK,Utilities,Gas Utilities,A,6.3,7.7,7.6,4.6
CHINA RESOURCES LAND LIMITED,1109,HK,Real Estate Development & Diversified Activities,Real Estate Development,BBB,5.6,6.6,3.6,4.8
CHINA RESOURCES MIXC LIFESTYLE SERVICES LIMITED,1209,CN,Commercial Services & Supplies,Real Estate Operating Companies,BBB,4.7,4.2,5.2,4.5
CHINA SCE GROUP HOLDINGS LIMITED,1966,CN,Real Estate Development & Diversified Activities,Real Estate Development,B,2.5,3.4,2.8,3.3
CHINA STATE CONSTRUCTION FINANCE (CAYMAN) I LIMITED,CHSTC,HK,Construction & Engineering,Construction & Engineering,CCC,0.4,3.2,3.7,1.0
CHINA STATE CONSTRUCTION FINANCE (CAYMAN) II LIMITED,,HK,Construction & Engineering,Construction & Engineering,CCC,0.4,3.2,3.7,1.0
CHINA STATE CONSTRUCTION FINANCE (CAYMAN) III LIMITED,,HK,Construction & Engineering,Construction & Engineering,CCC,0.4,3.2,3.7,1.0
CHINA STATE CONSTRUCTION INTERNATIONAL HOLDINGS LIMITED,3311,HK,Construction & Engineering,Construction & Engineering,CCC,0.4,3.2,3.7,1.0
CHINA STEEL CORPORATION INDIA PRIVATE LIMITED,,IN,Steel,Steel,BBB,5.0,3.9,5.2,3.6
"CHINA TIESIJU CIVIL ENGINEERING GROUP CO, LTD",,CN,Construction & Engineering,Construction & Engineering,B,1.9,4.1,2.5,2.6
CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG LIMITED,308,HK,Hotels & Travel,"Hotels, Resorts & Cruise Lines",B,2.3,4.9,3.6,2.2
CHINA UNICOM (HONG KONG) LIMITED,762,HK,Telecommunication Services,Integrated Telecommunication Services,B,1.7,7.8,5.2,1.2
"CHINA VANKE CO, LTD",000002,CN,Real Estate Development & Diversified Activities,Real Estate Development,BBB,4.6,6.3,3.1,4.8
CHINA WATER AFFAIRS GROUP LIMITED,855,HK,Utilities,Water Utilities,BBB,5.4,4.8,5.8,6.6
"CHINA XD ELECTRIC CO, LTD",601179,CN,Electrical Equipment,Heavy Electrical Equipment,B,1.9,5.6,4.5,3.0
CHINA YUCHAI INTERNATIONAL LIMITED,CYD,SG,Construction & Farm Machinery & Heavy Trucks,Construction Machinery & Heavy Trucks,B,1.8,3.0,5.0,2.3
CHINA YUHUA EDUCATION CORPORATION LIMITED,6169,CN,Diversified Consumer Services,Education Services,B,1.7,6.6,3.0,4.4
"CHINA ZHESHANG BANK CO, LTD",2016,CN,Banks,Diversified Banks,BBB,4.9,3.2,3.6,5.0
CHINASOFT INTERNATIONAL LIMITED,0354,CN,Software & Services,IT Consulting & Other Services,BB,3.6,5.7,2.1,5.3
CHINDATA GROUP HOLDINGS LIMITED,5WV,CN,Software & Services,Internet Services & Infrastructure,BB,3.8,6.9,2.7,4.3
CHINESE ESTATES HOLDINGS LIMITED,127,HK,Real Estate Development & Diversified Activities,Diversified Real Estate Activities,A,6.8,4.1,7.3,6.0
CHINESE MERCANTILE BANK,,CN,Banks,Diversified Banks,BBB,5.1,4.3,4.0,5.3
"CHIPOTLE MEXICAN GRILL, INC",CMG,US,Restaurants,Restaurants,BBB,4.3,4.3,3.7,6.2
"CHOCTAW GENERATION LIMITED PARTNERSHIP, LLLP",,US,Utilities,Independent Power Producers & Energy Traders,A,6.9,7.3,5.7,4.0
"CHOFU SEISAKUSHO CO, LTD",5946,JP,Household Durables,Household Appliances,CCC,0.0,4.4,4.4,1.5
"CHOICE HOTELS INTERNATIONAL, INC",CHH,US,Hotels & Travel,"Hotels, Resorts & Cruise Lines",BB,3.4,3.3,3.6,4.7
CHOICE PROPERTIES LIMITED PARTNERSHIP,,CA,Real Estate Management & Services,Retail REITs,BB,4.2,7.0,2.9,5.0
CHOICE PROPERTIES REAL ESTATE INVESTMENT TRUST,CHP.UN,CA,Real Estate Management & Services,Retail REITs,BB,4.2,7.0,2.9,5.0
CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAHLDNG,IN,Consumer Finance,Consumer Finance,A,7.1,6.7,3.9,4.3
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAFIN,IN,Consumer Finance,Consumer Finance,BBB,5.0,6.7,4.0,4.5
CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LIMITED,,IN,Consumer Finance,Consumer Finance,A,7.1,6.7,3.9,4.3
"CHONGQING SOKON INDUSTRY GROUP STOCK Co, Ltd",601127,CN,Automobiles,Automobile Manufacturers,BB,3.7,5.9,3.6,2.1
CHORUS AVIATION INC,CHR,CA,Airlines,Airlines,BBB,4.7,3.0,4.0,6.0
CHORUS LIMITED,CNU,NZ,Telecommunication Services,Alternative Carriers,AA,8.5,8.8,6.1,6.8
CHOW TAI FOOK JEWELLERY GROUP LIMITED,1929,HK,Retail - Consumer Discretionary,Specialty Stores,BBB,4.4,2.0,5.1,4.3
CHR HANSEN HOLDING AS,CHR,DK,Specialty Chemicals,Specialty Chemicals,AA,8.0,6.9,4.3,6.5
CHROME BIDCO SAS,,FR,Asset Management & Custody Banks,Asset Management & Custody Banks,AA,8.1,9.0,5.8,5.7
CHROME HOLDCO SAS,,FR,Asset Management & Custody Banks,Asset Management & Custody Banks,AA,8.1,9.0,5.8,5.7
CHRYSAOR LIMITED,,GB,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,AA,8.2,4.2,7.3,6.8
"CHSCOMMUNITY HEALTH SYSTEMS, INC",,US,Health Care Providers & Services,Health Care Facilities,BB,4.2,8.8,3.8,5.3
CHUBB INA HOLDINGS INC,,US,Property & Casualty Insurance,Property & Casualty Insurance,A,6.7,5.6,4.7,5.2
"CHUGAI PHARMACEUTICAL CO, LTD",4519,JP,Pharmaceuticals,Pharmaceuticals,AA,7.7,4.6,5.4,5.9
"CHUGOKU MARINE PAINTS,LTD",4617,JP,Specialty Chemicals,Specialty Chemicals,BBB,5.5,6.3,0.8,5.0
"CHURCH & DWIGHT CO, INC",CHD,US,Household & Personal Products,Household Products,A,7.1,7.1,2.8,6.1
CHURCHILL DOWNS INCORPORATED,CHDN,US,Casinos & Gaming,Casinos & Gaming,BB,4.0,3.3,3.9,5.8
"CHUYS HOLDINGS, INC",CHUY,US,Restaurants,Restaurants,B,2.1,1.6,3.2,5.7
"CI Banco, SA Institucion de Banca Multiple, Fideicomiso F00939",TERRA13,MX,Real Estate Management & Services,Industrial REITs,B,1.8,4.5,1.9,5.2
CI Financial Corp,CIX,CA,Asset Management & Custody Banks,Asset Management & Custody Banks,A,6.9,8.0,4.9,5.0
CI TAKIRON Corporation,4215,JP,Commodity Chemicals,Commodity Chemicals,BBB,4.9,4.8,0.0,4.4
"CIBC BANK USA, INC",,US,Banks,Diversified Banks,AA,8.4,10.0,4.2,5.9
CIBC INC,,US,Banks,Diversified Banks,AA,8.4,10.0,4.2,5.9
CICC Financial Products Ltd,,HK,Investment Banking & Brokerage,Investment Banking & Brokerage,BBB,5.3,6.5,2.5,5.2
CICC Financial Trading Limited,,HK,Investment Banking & Brokerage,Investment Banking & Brokerage,BBB,5.3,6.5,2.5,5.2
"CICC Futures Co, Ltd",,CN,Investment Banking & Brokerage,Investment Banking & Brokerage,BBB,5.3,6.5,2.5,5.2
