Company Name,Ticker,Country,Sector,Subsector, Overall ESG RATING, Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
AACI REIT MTN PTE LTD,,SG,Real Estate Management & Services,Industrial REITs,B,2.6,5.1,1.5,4.5
AADARSHINI REAL ESTATE DEVELOPERS PRIVATE LIMITED,,IN,Real Estate Development & Diversified Activities,Diversified Real Estate Activities,BB,4.1,4.8,5.7,2.2
AADVANTAGE LOYALTY IP LTD,,KY,Airlines,Airlines,B,2.8,3.1,3.1,4.5
AAI LIMITED,,AU,Property & Casualty Insurance,Property & Casualty Insurance,A,6.7,2.7,4.4,7.1
AAK AB (publ),AAK,SE,Food Products,Packaged Foods & Meats,AA,8.4,4.7,6.6,5.5
AALOK SOLARFARMS LIMITED,,IN,Utilities,Renewable Electricity,A,7.0,9.5,3.3,5.2
"AAON, INC",AAON,US,Building Products,Building Products,A,7.1,5.0,7.0,5.6
AAR CORP,AIR,US,Aerospace & Defense,Aerospace & Defense,BBB,5.6,2.0,5.5,3.7
AAREAL BANK CAPITAL FUNDING TRUST,,US,Banks,Thrifts & Mortgage Finance,AA,8.3,1.9,3.5,7.1
AB CUSTOM ALTERNATIVE PROGRAM SICAV,,LU,Asset Management & Custody Banks,Other Diversified Financial Services,BBB,5.3,5.0,4.7,5.6
AB Ignitis grupe,IGN1L,LT,Utilities,Electric Utilities,AA,7.5,7.8,7.8,4.1
AB Sagax,SAGA A,SE,Real Estate Management & Services,Real Estate Operating Companies,A,7.1,5.2,8.1,5.7
AB Science SA,AB,FR,Pharmaceuticals,Pharmaceuticals,AA,7.4,5.1,6.3,4.3
AB Sveriges Sakerstallda Obligationer (publ),SBAB,SE,Banks,,AAA,10.0,3.5,7.4,4.8
AB Traction,TRAC B,SE,Asset Management & Custody Banks,Asset Management & Custody Banks,B,1.8,8.0,4.1,1.6
ABB FINANCE (USA) INC,ABBN,US,Electrical Equipment,Electrical Components & Equipment,AA,8.5,8.0,4.3,6.0
ABB Finance BV,ABBN,NL,Electrical Equipment,Electrical Components & Equipment,AA,8.5,8.0,4.3,6.0
ABB Ltd,ABBN,CH,Electrical Equipment,Electrical Components & Equipment,AA,8.5,8.0,4.3,6.0
ABBOTT LABORATORIES,ABT,US,Health Care Equipment & Supplies,Health Care Equipment,BB,4.2,10.0,5.2,5.4
ABBVIE INC,ABBV,US,Biotechnology,Biotechnology,BBB,4.8,7.7,4.8,3.8
ABC Arbitrage SA,ABCA,FR,Diversified Financials,Specialized Finance,BB,4.1,8.0,3.5,5.1
ABC Financial Asset Investment Company Limited,,CN,Banks,Diversified Banks,BBB,5.7,5.0,4.9,4.1
"ABC Financial Leasing Co, Ltd",,CN,Banks,Diversified Banks,BBB,5.7,5.0,4.9,4.1
"ABC International Investment (Suzhou) Co, Ltd",,CN,Banks,Diversified Banks,BBB,5.7,5.0,4.9,4.1
"ABC Life Insurance Co, Ltd",,CN,Banks,Diversified Banks,BBB,5.7,5.0,4.9,4.1
"ABC-MART,INC",2670,JP,Retail - Consumer Discretionary,Apparel Retail,B,2.2,2.6,3.7,3.1
ABCAM PLC,ABC,GB,Health Care Equipment & Supplies,Biotechnology,A,6.3,7.8,5.6,5.9
ABERCROMBIE & FITCH CO,ANF,US,Retail - Consumer Discretionary,Apparel Retail,BB,3.9,4.6,2.7,5.2
ABERCROMBIE & FITCH MANAGEMENT CO,,US,Retail - Consumer Discretionary,Apparel Retail,BB,3.9,4.6,2.7,5.2
ABERTIS HOLDCO SA,,ES,Transportation Infrastructure,Highways & Railtracks,BBB,5.6,7.6,5.6,4.5
ABERTIS INFRAESTRUCTURAS SA,ABFOF,ES,Transportation Infrastructure,Highways & Railtracks,AA,8.0,7.6,8.0,5.2
ABHA SOLARFARMS LIMITED,,IN,Utilities,Renewable Electricity,A,7.0,9.5,3.3,5.2
ABHIRAJ REAL ESTATE PRIVATE LIMITED,,IN,Real Estate Development & Diversified Activities,Diversified Real Estate Activities,BB,4.1,4.8,5.7,2.2
"ABIOMED, INC",ABMD,US,Health Care Equipment & Supplies,Health Care Equipment,AA,7.4,6.5,7.6,4.9
ABJA INVESTMENT CO PTE LTD,,SG,Steel,Steel,B,1.8,2.3,2.0,4.3
ABL Bio Inc,298380,KR,Biotechnology,Biotechnology,CCC,0.3,5.9,4.1,2.5
